Config,Accuracy,Top-5 Acc,Macro F1,Weighted F1
224_aug,0.9724,0.9977,0.9543,0.9716
128_aug,0.9562,0.9962,0.9323,0.9554
64_aug,0.8571,0.9624,0.7893,0.8556
224_no_aug,0.9724,0.9977,0.9522,0.9714
